Event Count,P2P Jacc,Order Management Jacc
29,0.3235,0.0000
59,0.5294,0.0000
89,0.6471,0.0000
119,0.7353,0.0000
149,0.7941,0.0000
179,0.7941,0.0000
209,0.9412,0.0000
239,0.9412,0.0000
269,0.9412,0.0000
299,0.9412,0.0000
329,0.9412,0.0000
359,0.8824,0.0000
389,0.8824,0.0000
419,0.8824,0.0000
449,0.9412,0.0000
479,0.9412,0.0000
509,0.9412,0.0000
539,0.9412,0.0000
569,0.9412,0.0000
599,0.9412,0.0000
629,0.9412,0.0000
659,0.9412,0.0000
689,0.9412,0.0000
719,0.9412,0.0000
749,0.9412,0.0000
779,0.9412,0.0000
809,0.9412,0.0000
839,0.9412,0.0000
869,0.9412,0.0000
899,0.9412,0.0000
929,0.9412,0.0000
959,0.9412,0.0000
989,0.9412,0.0000
1019,0.9412,0.0000
1049,0.9412,0.0000
1079,0.9412,0.0000
1109,0.9412,0.0000
1139,0.9412,0.0000
1169,0.9412,0.0000
1199,0.9412,0.0000
1229,0.9412,0.0000
1259,0.9412,0.0000
1289,0.9412,0.0000
1319,0.9412,0.0000
1349,0.9412,0.0000
1379,0.9412,0.0000
1409,0.9412,0.0000
1439,0.9412,0.0000
1469,0.9412,0.0000
1499,0.9412,0.0000
1529,0.9412,0.0000
1559,0.9412,0.0000
1589,0.9412,0.0000
1619,0.9412,0.0000
1649,0.9412,0.0000
1679,0.9412,0.0000
1709,0.9706,0.0000
1739,1.0000,0.0000
1769,1.0000,0.0000
1799,1.0000,0.0000
1829,1.0000,0.0000
1859,1.0000,0.0000
1889,1.0000,0.0000
1919,1.0000,0.0000
1949,1.0000,0.0000
1979,1.0000,0.0000
2009,1.0000,0.0000
2039,1.0000,0.0000
2069,1.0000,0.0000
2099,1.0000,0.0000
2129,1.0000,0.0000
2159,1.0000,0.0000
2189,1.0000,0.0000
2219,1.0000,0.0000
2249,1.0000,0.0000
2279,1.0000,0.0000
2309,1.0000,0.0000
2339,1.0000,0.0000
2369,1.0000,0.0000
2399,1.0000,0.0000
2429,1.0000,0.0000
2459,0.9706,0.0000
2489,0.9706,0.0000
2519,1.0000,0.0000
2549,1.0000,0.0000
2579,1.0000,0.0000
2609,1.0000,0.0000
2639,0.9706,0.0000
2669,0.9706,0.0000
2699,0.9706,0.0000
2729,0.9706,0.0000
2759,0.9412,0.0000
2789,1.0000,0.0000
2819,1.0000,0.0000
2849,1.0000,0.0000
2879,1.0000,0.0000
2909,1.0000,0.0000
2939,1.0000,0.0000
2969,1.0000,0.0000
2999,1.0000,0.0000
3029,1.0000,0.0000
3059,1.0000,0.0000
3089,1.0000,0.0000
3119,1.0000,0.0000
3149,1.0000,0.0000
3179,1.0000,0.0000
3209,1.0000,0.0000
3239,1.0000,0.0000
3269,1.0000,0.0000
3299,1.0000,0.0000
3329,1.0000,0.0000
3359,1.0000,0.0000
3389,1.0000,0.0000
3419,1.0000,0.0000
3449,1.0000,0.0000
3479,1.0000,0.0000
3509,1.0000,0.0000
3539,1.0000,0.0000
3569,1.0000,0.0000
3599,1.0000,0.0000
3629,1.0000,0.0000
3659,1.0000,0.0000
3689,1.0000,0.0000
3719,1.0000,0.0000
3749,1.0000,0.0000
3779,1.0000,0.0000
3809,1.0000,0.0000
3839,1.0000,0.0000
3869,1.0000,0.0000
3899,1.0000,0.0000
3929,1.0000,0.0000
3959,1.0000,0.0000
3989,1.0000,0.0000
4019,1.0000,0.0000
4049,1.0000,0.0000
4079,1.0000,0.0000
4109,1.0000,0.0000
4139,1.0000,0.0000
4169,1.0000,0.0000
4199,1.0000,0.0000
4229,1.0000,0.0000
4259,0.9706,0.0000
4289,0.9706,0.0000
4319,0.9706,0.0000
4349,0.9706,0.0000
4379,0.9706,0.0000
4409,0.9412,0.0000
4439,0.9412,0.0000
4469,0.9412,0.0000
4499,0.9412,0.0000
4529,0.9412,0.0000
4559,0.9706,0.0000
4589,0.9412,0.0000
4619,0.9412,0.0000
4649,0.9412,0.0000
4679,0.9412,0.0000
4709,0.9706,0.0000
4739,0.9412,0.0000
4769,0.9412,0.0000
4799,0.9412,0.0000
4829,0.9412,0.0000
4859,0.9412,0.0000
4889,0.9412,0.0000
4919,0.9412,0.0000
4949,0.9412,0.0000
4979,0.9706,0.0000
5009,0.9706,0.0000
5039,0.9706,0.0000
5069,0.9412,0.0000
5099,0.9412,0.0000
5129,0.9412,0.0000
5159,0.9412,0.0000
5189,0.9412,0.0000
5219,0.9412,0.0000
5249,0.9412,0.0000
5279,0.9412,0.0000
5309,0.9412,0.0000
5339,0.9412,0.0000
5369,0.9412,0.0000
5399,0.9412,0.0000
5429,0.9412,0.0000
5459,0.9412,0.0000
5489,0.9706,0.0000
5519,0.9412,0.0000
5549,0.9412,0.0000
5579,0.9706,0.0000
5609,1.0000,0.0000
5639,1.0000,0.0000
5669,0.9706,0.0000
5699,1.0000,0.0000
5729,1.0000,0.0000
5759,1.0000,0.0000
5789,1.0000,0.0000
5819,1.0000,0.0000
5849,1.0000,0.0000
5879,1.0000,0.0000
5909,1.0000,0.0000
5939,1.0000,0.0000
5969,1.0000,0.0000
5999,1.0000,0.0000
6029,1.0000,0.0000
6059,1.0000,0.0000
6089,1.0000,0.0000
6119,1.0000,0.0000
6149,1.0000,0.0000
6179,1.0000,0.0000
6209,1.0000,0.0000
6239,1.0000,0.0000
6269,1.0000,0.0000
6299,1.0000,0.0000
6329,1.0000,0.0000
6359,1.0000,0.0000
6389,1.0000,0.0000
6419,0.9706,0.0000
6449,0.9706,0.0000
6479,0.9706,0.0000
6509,0.9706,0.0000
6539,0.9706,0.0000
6569,0.9412,0.0000
6599,0.9412,0.0000
6629,0.9412,0.0000
6659,0.9412,0.0000
6689,0.9412,0.0000
6719,0.9412,0.0000
6749,0.9412,0.0000
6779,0.9412,0.0000
6809,0.9706,0.0000
6839,0.9706,0.0000
6869,0.9706,0.0000
6899,0.9412,0.0000
6929,0.9412,0.0000
6959,0.9412,0.0000
6989,0.9412,0.0000
7019,0.9412,0.0000
7049,0.9412,0.0000
7079,0.9412,0.0000
7109,0.9412,0.0000
7139,0.9412,0.0000
7169,0.9412,0.0000
7199,0.9412,0.0000
7229,0.9412,0.0000
7259,0.9412,0.0000
7289,0.9412,0.0000
7319,0.9412,0.0000
7349,0.9412,0.0000
7379,0.9412,0.0000
7409,0.9412,0.0000
7439,0.9412,0.0000
7469,0.9412,0.0000
7499,0.9412,0.0000
7529,0.9412,0.0000
7559,0.9412,0.0000
